"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
213;"1927-01-08";"January";1927;"Unprovoked";"USA";"California";"Catalina Channel, Los Angeles County";"Water leisure activity";"M";"N"
214;"1908-07-08";"July";1908;"Unprovoked";"Croatia";"Adriatic Sea";"Medola";"Recreational water sport";"F";"Y"
215;"1908-07-18";"July";1908;"Invalid";"Spain";"Canary Islands";"Tazacorte, La Palma";"Not specified";"Not specified";"Y"
216;"1905-04-06";"April";1905;"Unprovoked";"South Africa";"KwaZulu-Natal";"Back Beach, Durban";"Water leisure activity";"M";"Y"
217;"1908-08-28";"August";1908;"Unprovoked";"Spain";"Galicia";"Cape Finisterre";"Accidents involving falling overboard from a vessel";"M";"Y"
218;"1927-01-20";"January";1927;"Unprovoked";"South Africa";"Eastern Cape Province";"Kidd’s Beach";"Recreational water sport";"M";"N"
219;"1905-05-22";"May";1905;"Unprovoked";"USA";"Florida";"Pablo Beach, Jacksonville, Duval County";"Water leisure activity";"M";"N"
220;"1927-02-01";"February";1927;"Provoked";"New Zealand";"South Island";"Menzies Bay, Banks Peninsula,";"Fishing, catching, or hunting";"M";"N"
221;"1927-02-09";"February";1927;"Unprovoked";"Australia";"Queensland";"Brisbane River";"Extreme or dangerous challenges";"M";"N"
222;"1905-07-01";"July";1905;"Unprovoked";"USA";"North Carolina";"Ocracoke, Hyde County";"Fishing, catching, or hunting";"M";"Y"
223;"1908-09-05";"September";1908;"Unprovoked";"USA";"California";"Redondo, Los Angeles County";"Fishing, catching, or hunting";"M";"N"
224;"1927-02-14";"February";1927;"Provoked";"Nicaragua";"Salinas Bay";"A shark was caught, its head severed from body and hung from the anchor davit onboard the U.S.S. Borie";"Irresponsible or dangerous behavior with sharks";"M";"N"
225;"1905-07-25";"July";1905;"Invalid";"Italy";"Unknown";"Naples";"Not specified";"M";"Y"
226;"1908-09-21";"September";1908;"Unprovoked";"Australia";"Torres Strait";"Thursday Island";"Accidents involving falling overboard from a vessel";"M";"Y"
227;"1927-03-01";"March";1927;"Unprovoked";"Australia";"New South Wales";"Mereweather Beach";"Recreational water sport";"M";"N"
228;"1905-07-29";"July";1905;"Unprovoked";"USA";"North Carolina";"Davis Shore, east of Beaufor, Carteret Countyt";"Water leisure activity";"M";"Y"
229;"1908-12-16";"December";1908;"Unprovoked";"Mexico";"Quintana Roo";"Unknown";"Water leisure activity";"M";"Y"
230;"1927-04-08";"April";1927;"Unprovoked";"Australia";"Queensland";"Near Thursday Island";"Water leisure activity";"M";"N"
231;"1908-12-31";"December";1908;"Unprovoked";"South Africa";"Western Cape Province";"Stilbaai";"Water leisure activity";"M";"Y"
232;"1905-08-01";"August";1905;"Unprovoked";"Philippines";"Luzon Island";"Manila Bay";"Water leisure activity";"M";"N"
233;"1909-01-01";"January";1909;"Invalid";"Italy";"Sicily";"Off Capo San Croce, near Augusta (Catania)";"Sea disaster";"Not specified";"Y"
234;"1927-04-10";"April";1927;"Unprovoked";"Australia";"Torres Strait";"Near Thursday Island";"Water leisure activity";"M";"N"
235;"1909-01-17";"January";1909;"Invalid";"Unknown";"Unknown";"Near the equator";"Accidents involving falling overboard from a vessel";"M";"Y"
236;"1927-05-09";"May";1927;"Unprovoked";"Australia";"Queensland";"Off Cairns";"Water leisure activity";"M";"Y"
237;"1905-08-01";"August";1905;"Unprovoked";"USA";"New Jersey";"Atlantic City, Atlantic County";"Fishing, catching, or hunting";"M";"N"
238;"1909-03-06";"March";1909;"Sea Disaster";"South Africa";"South Atlantic Ocean";"Possession Island";"Sinking or failure of vessel";"F";"Y"
239;"1927-05-29";"May";1927;"Sea Disaster";"Philippines";"Luzon Island";"Bondoc Peninsula";"Sea disaster";"Not specified";"Y"
240;"1927-07-03";"July";1927;"Boating";"Australia";"New South Wales";"Bellambi Reef";"Not specified";"Not specified";"N"
241;"1909-04-09";"April";1909;"Unprovoked";"Tunisia";"Sfax";"Unknown";"Water leisure activity";"M";"Y"
242;"1927-10-01";"October";1927;"Unprovoked";"Fiji";"Unknown";"a river";"Water leisure activity";"M";"N"
243;"1909-04-10";"April";1909;"Invalid";"USA";"Hawaii";"Pa'uwela, Maui";"Fishing, catching, or hunting";"F";"Y"
244;"1927-10-12";"October";1927;"Unprovoked";"Australia";"New South Wales";"Kiah Creek, Eden";"Water leisure activity";"M";"N"
245;"1909-04-27";"April";1909;"Provoked";"Spain";"Andalucia";"Puente Mayorga, San Roque, Cádiz";"Fishing, catching, or hunting";"M";"N"
246;"1927-10-25";"October";1927;"Sea Disaster";"Brazil";"Porto Seguro";"Unknown";"Sinking or failure of vessel";"Not specified";"Y"
247;"1909-06-18";"June";1909;"Sea Disaster";"Australia";"Queensland";"Middleton Reef, 300 nm from Brisbane";"Sinking or failure of vessel";"M";"Y"
248;"1909-06-26";"June";1909;"Unprovoked";"Mexico";"Guerrero";"Zacatula";"Water leisure activity";"F";"Y"
249;"1909-06-26";"June";1909;"Unprovoked";"South Africa";"Western Cape Province";"Cape Town";"Not specified";"M";"Y"
250;"1909-07-15";"July";1909;"Unprovoked";"USA";"Florida";"Panama City, Bay County";"Water leisure activity";"M";"N"
251;"1909-07-24";"July";1909;"Unprovoked";"USA";"New York";"Rockaway";"Fishing, catching, or hunting";"M";"N"
252;"1909-08-13";"August";1909;"Unprovoked";"USA";"Florida";"Pensacola Bay, Escambia County";"Fishing, catching, or hunting";"M";"Y"
253;"1909-09-04";"September";1909;"Provoked";"USA";"Delaware";"Lewes, Sussex County";"Fishing, catching, or hunting";"M";"N"
254;"1909-12-05";"December";1909;"Provoked";"Australia";"New South Wales";"Bondi";"Fishing, catching, or hunting";"M";"N"
255;"1909-12-15";"December";1909;"Unprovoked";"Australia";"New South Wales";"Unknown";"Accidents involving falling overboard from a vessel";"M";"Y"
256;"1916-11-10";"November";1916;"Unprovoked";"Australia";"Queensland";"Townsville";"Water leisure activity";"M";"Y"
257;"1916-11-15";"November";1916;"Provoked";"Panama";"Unknown";"Panama Canal";"Not specified";"M";"N"
258;"1916-12-08";"December";1916;"Unprovoked";"Australia";"New South Wales";"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)";"Water leisure activity";"F";"N"
259;"1916-12-08";"December";1916;"Unprovoked";"Australia";"New South Wales";"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)";"Water leisure activity";"M";"Y"
260;"1929-10-20";"October";1929;"Unprovoked";"Australia";"Torres Strait";"Near Badu Island";"Water leisure activity";"M";"N"
261;"1916-12-30";"December";1916;"Unprovoked";"Australia";"Queensland";"Yeppoon, near Ross Creek";"Water leisure activity";"M";"N"
262;"1929-11-21";"November";1929;"Unprovoked";"Cuba";"Cienfuegos Province";"Cienfuegos";"Fishing, catching, or hunting";"M";"N"
263;"1917-05-05";"May";1917;"Unprovoked";"Kuwait";"Unknown";"Unknown";"Water leisure activity";"M";"N"
264;"1929-11-29";"November";1929;"Sea Disaster";"Kiribati";"Phoenix Islands";"Nikumaroro Island";"Sea disaster";"Not specified";"Y"
265;"1917-05-31";"May";1917;"Unprovoked";"Philippines";"Luzon Island";"Canacao Bay";"Water leisure activity";"M";"Y"
266;"1929-12-03";"December";1929;"Unprovoked";"Australia";"Queensland";"Townsville";"Not specified";"M";"Y"
267;"1917-06-03";"June";1917;"Unprovoked";"USA";"South Carolina";"Calibogue Sound";"Water leisure activity";"M";"N"
268;"1927-11-03";"November";1927;"Sea Disaster";"Australia";"New South Wales";"Bradleys Head, Sydney";"Sinking or failure of vessel";"Not specified";"Y"
269;"1917-07-18";"July";1917;"Unprovoked";"USA";"Florida";"Florida Keys";"Water leisure activity";"M";"Y"
270;"1929-12-13";"December";1929;"Unprovoked";"Australia";"Torres Strait";"Thursday Island";"Water leisure activity";"M";"N"
271;"1927-12-28";"December";1927;"Unprovoked";"South Africa";"Western Cape Province";"Little Brak River";"Water leisure activity";"M";"Y"
272;"1929-12-16";"December";1929;"Unprovoked";"Australia";"New South Wales";"Collaroy";"Recreational water sport";"F";"N"
273;"1917-09-01";"September";1917;"Unprovoked";"Panama";"Colon";"Unknown";"Water leisure activity";"M";"Y"
274;"1929-12-21";"December";1929;"Unprovoked";"Australia";"Torres Strait";"Thursday Island";"Water leisure activity";"M";"N"
275;"1929-12-26";"December";1929;"Unprovoked";"Australia";"New South Wales";"White Bay, near Bald Rock Jetty, Sydney Harbor";"Water leisure activity";"M";"Y"
276;"1928-01-01";"January";1928;"Unprovoked";"South Africa";"Eastern Cape Province";"Kei River mouth";"Recreational water sport";"M";"N"
277;"1928-01-02";"January";1928;"Unprovoked";"South Africa";"Eastern Cape Province";"Salt Vlei, Port Alfred";"Not specified";"F";"N"
278;"1917-09-09";"September";1917;"Provoked";"USA";"Hawaii";"Nanakuli, Oah’u";"Irresponsible or dangerous behavior with sharks";"M";"N"
279;"1930-01-01";"January";1930;"Sea Disaster";"Mauritius";"Unknown";"Two miles from shore in Tamarind Bay";"Fishing, catching, or hunting";"M";"Y"
280;"1928-01-21";"January";1928;"Invalid";"USA";"Florida";"Off Florida coast";"Accidents involving falling overboard from a vessel";"M";"Y"
281;"1930-01-16";"January";1930;"Unprovoked";"South Africa";"Western Cape Province";"Melkbaai, False Bay";"Water leisure activity";"M";"N"
282;"1928-01-21";"January";1928;"Invalid";"USA";"Florida";"Unknown";"Water leisure activity";"Not specified";"Y"
283;"1930-01-22";"January";1930;"Boating";"Mexico";"Veracruz";"Panuco River Mouth";"Fishing, catching, or hunting";"Not specified";"Y"
284;"1930-02-03";"February";1930;"Provoked";"Australia";"Western Australia";"Onslow";"Irresponsible or dangerous behavior with sharks";"M";"N"
285;"1917-09-21";"September";1917;"Unprovoked";"USA";"New Jersey";"Sea Bright, Monmouth County";"Water leisure activity";"M";"N"
286;"1909-12-26";"December";1909;"Unprovoked";"USA";"Florida";"Unknown";"Not specified";"M";"N"
287;"1928-01-27";"January";1928;"Unprovoked";"Australia";"Torres Strait";"Deliverance Island";"Water leisure activity";"M";"Y"
288;"1930-02-15";"February";1930;"Unprovoked";"Australia";"Victoria";"Middle Brighton, Port Phillip";"Water leisure activity";"M";"Y"
289;"1910-01-26";"January";1910;"Unprovoked";"Australia";"New South Wales";"Newcastle Harbor";"Not specified";"M";"Y"
290;"1917-11-01";"November";1917;"Unprovoked";"Mozambique";"Maputo Province";"Off Inhaca Island";"Sinking or failure of vessel";"M";"Y"
291;"1930-02-20";"February";1930;"Unprovoked";"Australia";"Torres Strait";"Unknown";"Water leisure activity";"M";"N"
292;"1928-02-01";"February";1928;"Unprovoked";"Costa Rica";"Near Puntarenas";"Unknown";"Water leisure activity";"M";"N"
293;"1917-12-15";"December";1917;"Unprovoked";"Australia";"Western Australia";"Port Hedland";"Water leisure activity";"M";"N"
294;"1930-03-07";"March";1930;"Unprovoked";"USA";"Florida";"Unknown";"Water leisure activity";"M";"N"
295;"1928-02-01";"February";1928;"Unprovoked";"Costa Rica";"Near Puntarenas";"Unknown";"Water leisure activity";"F";"N"
296;"1910-02-16";"February";1910;"Unprovoked";"Australia";"Western Australia";"Bunbury";"Recreational water sport";"M";"N"
297;"1910-03-01";"March";1910;"Invalid";"USA";"Hawaii";"Pearl Harbor, O'ahu";"Water leisure activity";"M";"N"
298;"1918-03-22";"March";1918;"Unprovoked";"Australia";"New South Wales";"Newcastle";"Recreational water sport";"M";"N"
299;"1930-04-08";"April";1930;"Invalid";"South Africa";"Eastern Cape Province";"Bashee River";"Not specified";"M";"Y"
300;"1910-03-08";"March";1910;"Unprovoked";"New Zealand";"North Island";"Waikanae Beach, Gisborne";"Water leisure activity";"M";"N"
301;"1918-09-19";"September";1918;"Unprovoked";"Australia";"Queensland";"Townsville";"Water leisure activity";"M";"Y"
302;"1928-02-20";"February";1928;"Unprovoked";"Australia";"Torres Strait";"Near Barrow Point, Queensland";"Water leisure activity";"M";"Y"
303;"1930-05-11";"May";1930;"Invalid";"Costa Rica";"Limón Province";"Off Porto Limon";"Air disaster";"Not specified";"Y"
304;"1910-03-31";"March";1910;"Unprovoked";"Panama";"Colón Province";"Cristobal";"Accidents involving falling overboard from a vessel";"M";"Y"
305;"1930-05-11";"May";1930;"Boating";"Turkey";"Unknown";"Yeilköy";"Fishing, catching, or hunting";"M";"N"
306;"1928-03-28";"March";1928;"Unprovoked";"Australia";"Queensland";"Unknown";"Not specified";"M";"N"
307;"1928-04-04";"April";1928;"Unprovoked";"Australia";"New South Wales";"Cooks Hill, Newcastle";"Water leisure activity";"M";"Y"
308;"1930-05-27";"May";1930;"Unprovoked";"USA";"Texas";"High Island";"Water leisure activity";"M";"N"
309;"1910-05-16";"May";1910;"Invalid";"USA";"Alabama";"Off Fort Gaines, Dauphin Island, Mobile County";"Sinking or failure of vessel";"M";"N"
310;"1918-11-01";"November";1918;"Unprovoked";"USA";"Hawaii";"Papaikou plantation";"Fishing, catching, or hunting";"M";"Y"
311;"1930-06-04";"June";1930;"Unprovoked";"Australia";"Torres Strait";"Near Mabuiag Island";"Not specified";"M";"Y"
312;"1910-06-08";"June";1910;"Sea Disaster";"Mozambique";"Zambesi River";"Portuguese territory";"Sinking or failure of vessel";"Not specified";"Y"
313;"1919-01-05";"January";1919;"Unprovoked";"Australia";"Queensland";"Ross River, Townsville";"Fishing, catching, or hunting";"M";"Y"
314;"1910-06-25";"June";1910;"Unprovoked";"Mexico";"Unknown";"LaBarra";"Water leisure activity";"M";"N"
315;"1930-07-11";"July";1930;"Unprovoked";"USA";"Florida";"Jensen Beach, Martin County";"Water leisure activity";"M";"N"
316;"1928-04-06";"April";1928;"Unprovoked";"Australia";"Queensland";"Graceville";"Water leisure activity";"M";"N"
317;"1930-07-19";"July";1930;"Unprovoked";"Cuba";"Havana Province";"LaPlaya Beach / Vedado, Havana";"Water leisure activity";"M";"N"
318;"1928-04-09";"April";1928;"Unprovoked";"Jamaica";"Unknown";"Coal wharf, Port Royal";"Water leisure activity";"M";"Y"
319;"1928-04-14";"April";1928;"Unprovoked";"Australia";"New South Wales";"Bondi";"Water leisure activity";"M";"N"
320;"1930-08-06";"August";1930;"Unprovoked";"USA";"Florida";"Palm Beach Inlet, Palm Beach County";"Water leisure activity";"M";"N"
321;"1919-01-09";"January";1919;"Unprovoked";"Australia";"New South Wales";"Sirius Cove, Sydney Harbor";"Water leisure activity";"M";"Y"
322;"1910-11-24";"November";1910;"Unprovoked";"Australia";"Queensland";"Mackay";"Water leisure activity";"M";"N"
323;"1930-08-16";"August";1930;"Unprovoked";"Spain";"Canary Islands";"El Escabonal, Tenerife";"Water leisure activity";"M";"N"
324;"1928-04-14";"April";1928;"Unprovoked";"Australia";"Queensland";"Barrow Point, 100 miles north of Cooktown, Queensland";"Fishing, catching, or hunting";"M";"N"
325;"1910-12-23";"December";1910;"Sea Disaster";"Australia";"Western Australia";"Fremantle";"Sinking or failure of vessel";"M";"Y"
326;"1919-01-15";"January";1919;"Unprovoked";"New Zealand";"South Island";"Tahuna Beach, Nelson";"Water leisure activity";"F";"N"
327;"1930-08-31";"August";1930;"Unprovoked";"Australia";"Western Australia";"Geraldton";"Fishing, catching, or hunting";"M";"N"
328;"1910-12-25";"December";1910;"Invalid";"Croatia";"Primorje-Gorski Kotar County";"Rijeka";"Not specified";"M";"Y"
329;"1919-01-17";"January";1919;"Unprovoked";"Australia";"New South Wales";"Newcastle Beach";"Water leisure activity";"M";"N"
330;"1928-05-17";"May";1928;"Invalid";"India";"Unknown";"Unknown";"Not specified";"M";"Not specified"
331;"1930-09-12";"September";1930;"Boating";"Azores";"Unknown";"Unknown";"Not specified";"Not specified";"N"
332;"1919-03-16";"March";1919;"Invalid";"Australia";"New South Wales";"Sydney Harbor";"Sinking or failure of vessel";"M";"Not specified"
333;"1928-06-24";"June";1928;"Unprovoked";"USA";"Florida";"Daytona Beach, Volusia County";"Water leisure activity";"M";"N"
334;"1911-01-04";"January";1911;"Sea Disaster";"Australia";"Western Australia";"Off Legendre Island";"Sinking or failure of vessel";"M";"N"
335;"1930-09-26";"September";1930;"Unprovoked";"Honduras";"Black River";"Unknown";"Water leisure activity";"M";"Y"
336;"1911-03-29";"March";1911;"Unprovoked";"Australia";"Torres Strait";"Thursday Island";"Water leisure activity";"M";"Y"
337;"1930-11-30";"November";1930;"Unprovoked";"Australia";"Queensland";"St. Helena Island, Moreton Bay";"Fishing, catching, or hunting";"M";"N"
338;"1911-04-08";"April";1911;"Boating";"New Zealand";"Chatham Islands";"Unknown";"Fishing, catching, or hunting";"Not specified";"N"
339;"1930-12-01";"December";1930;"Unprovoked";"Australia";"New South Wales";"Parramata River";"Not specified";"M";"Y"
340;"1928-07-01";"July";1928;"Provoked";"Italy";"Tuscany";"Viareggio";"Recreational water sport";"M";"N"
341;"1919-04-06";"April";1919;"Unprovoked";"USA";"Florida";"Florida Keys 25ºN,82ºW";"Accidents involving falling overboard from a vessel";"M";"Y"
342;"1930-12-02";"December";1930;"Boating";"Australia";"Victoria";"Rosebud";"Fishing, catching, or hunting";"Not specified";"N"
343;"1911-05-01";"May";1911;"Unprovoked";"South Africa";"Western Cape Province";"Victoria Bay";"Water leisure activity";"M";"Y"
344;"1928-07-11";"July";1928;"Unprovoked";"Australia";"Unknown";"Unknown";"Water leisure activity";"M";"N"
345;"1930-12-13";"December";1930;"Unprovoked";"Australia";"New South Wales";"Sailor Bay, Middle Harbour, Sydney";"Accidents involving falling overboard from a vessel";"M";"Y"
346;"1919-05-29";"May";1919;"Unprovoked";"USA";"South Carolina";"James Island Sound, Charleston";"Water leisure activity";"M";"N"
347;"1930-12-25";"December";1930;"Unprovoked";"Australia";"New South Wales";"Homebush Bay, Parramatta River, Sydney";"Water leisure activity";"M";"N"
348;"1928-08-24";"August";1928;"Invalid";"USA";"New Jersey";"Off shore";"Not specified";"M";"Not specified"
349;"1911-05-01";"May";1911;"Provoked";"USA";"Texas";"Rockport, Aransas County";"Fishing, catching, or hunting";"M";"N"
350;"1919-08-10";"August";1919;"Unprovoked";"USA";"Florida";"Gadsden Point, Tampa Bay";"Water leisure activity";"M";"N"
351;"1931-01-07";"January";1931;"Unprovoked";"Australia";"Queensland";"Yeppoon, near Ross Creek";"Water leisure activity";"M";"N"
352;"1911-05-09";"May";1911;"Unprovoked";"South Africa";"Western Cape Province";"Victoria Bay";"Water leisure activity";"M";"Y"
353;"1928-09-01";"September";1928;"Unprovoked";"USA";"Texas";"Corpus Christi";"Fishing, catching, or hunting";"M";"N"
